CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New category,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Immigrants,,,,,,,,,2027,831,10340,1275,129354,7165,7452,1829,,67484,18253,3190,1102,26180,3866,1858,2492,2398,2423,839,16220,21095,11162,9020,967,4388,259,1590,6791,1670,33864,2205,67972,9988,286,8617,2678,4910,16143,2078,3081,399,4229,49699,2908,407,17815,16830,550,3864,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Immigrants,,,,,,,,,1122,484,5513,689,69647,3761,3987,937,,37005,9478,1808,589,13601,1997,938,1275,1140,1257,464,8684,11102,5698,4814,497,2286,178,834,3655,867,17897,1195,36498,5125,166,4359,1301,2697,8407,1060,1450,194,2124,25672,1563,215,9218,9122,317,2074,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Immigrants,,,,,,,,,905,347,4827,586,59705,3404,3465,892,,30479,8775,1382,513,12579,1869,920,1217,1258,1166,375,7536,9993,5463,4206,470,2102,81,756,3136,803,15960,1010,31474,4863,120,4258,1377,2213,7736,1018,1631,205,2105,24027,1345,192,8594,7708,233,1790,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Occupation,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students],,,,,2,2,2,5,3,2,2,2,,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Top Country Migrated From,,,,0=[0x377EB8][Bosnia Herzegovina] 1=[0xE41A1C][Canada] 2=[0x4DAF4A][Cuba] 3=[0x984EA3][Dominican Republic] 4=[0xFF7F00][India] 5=[0xFFFF33][Jamaica] 6=[0xA65628][Mexico] 7=[0xF781BF][Philippines] 8=[0xCCCC00][Somalia] 9=[0xFF0A85][Sudan] 10=[0x00CCCC][Vietnam] 11=[0x00FF1A][El Salvador] 12=[0x0000AD][Ethiopia] 13=[0x3D3D3D][China],,,,,4,7,6,6,6,6,4,4,,2,4,7,6,6,4,6,6,4,10,8,4,4,4,8,4,4,1,6,7,4,4,6,13,4,7,4,6,6,4,3,4,12,4,6,6,1,4,4,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1775,1100,12377,1648,179754,6813,10421,1545,,82788,15408,3744,1674,28112,4261,2198,3129,2390,3402,729,17099,21748,10703,9089,1170,4526,267,1644,8470,1492,35077,3062,88733,16294,273,8072,2256,5051,16905,2458,3506,415,4938,54024,2823,426,24730,19853,361,3845,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,951,640,6502,827,96324,3647,5653,783,,44548,7981,2206,877,14225,2160,1118,1622,1153,1705,391,8830,11301,5415,4747,601,2360,176,819,4762,801,18203,1643,47380,8446,146,4069,1177,2701,8815,1251,1844,213,2468,27132,1508,243,12937,10859,198,1968,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,824,460,5875,821,83430,3166,4768,762,,38240,7427,1538,797,13887,2101,1080,1507,1237,1697,338,8269,10447,5288,4342,569,2166,91,825,3708,691,16874,1419,41353,7848,127,4003,1079,2350,8090,1207,1662,202,2470,26892,1315,183,11793,8994,163,1877,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students],,,,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,5,2,5,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Bosnia Herzegovina] 1=[0xE41A1C][Canada] 2=[0x4DAF4A][Cuba] 3=[0x984EA3][Dominican Republic] 4=[0xFF7F00][India] 5=[0xFFFF33][Jamaica] 6=[0xA65628][Mexico] 7=[0xF781BF][Philippines] 8=[0xCCCC00][Somalia] 9=[0xFF0A85][Sudan] 10=[0x00CCCC][Vietnam] 11=[0x00FF1A][El Salvador] 12=[0x0000AD][Ethiopia] 13=[0x3D3D3D][China],,,,,4,7,6,6,6,6,4,4,,2,4,7,6,6,6,6,6,4,10,8,4,3,4,8,10,0,1,6,6,4,4,6,3,6,0,4,6,6,4,3,4,12,4,6,6,1,4,6,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1982,1145,24055,2330,297909,11972,9589,1425,,128328,20417,5205,2240,45224,5104,3503,4072,3093,3018,924,23342,28728,14634,9220,944,5849,358,2866,13150,1617,59950,3058,90572,8509,336,11142,3335,9257,19673,3721,3488,572,5560,82129,5394,518,29949,18665,505,5200,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1113,657,13471,1244,169714,6568,5521,765,,75193,10999,3113,1246,24615,2715,1877,2235,1655,1716,542,13195,16039,7858,5017,546,3184,245,1508,7530,884,33612,1738,50873,4329,188,5958,1903,5265,10758,2164,2006,318,3001,46362,3038,290,16382,10548,278,2688,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,869,488,10584,1086,128193,5404,4068,660,,53135,9418,2092,994,20608,2389,1626,1837,1438,1300,382,10147,12689,6776,4203,398,2665,113,1358,5620,733,26332,1320,39698,4180,148,5183,1432,3992,8915,1557,1482,254,2559,35767,2356,228,13565,8117,227,2512,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students],,,,,2,3,2,5,2,2,2,2,,2,2,3,5,2,2,5,5,2,2,6,2,2,2,2,2,2,2,5,3,2,2,6,6,2,2,2,2,2,6,5,2,5,2,2,5,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Bosnia Herzegovina] 1=[0xE41A1C][Canada] 2=[0x4DAF4A][Cuba] 3=[0x984EA3][Dominican Republic] 4=[0xFF7F00][India] 5=[0xFFFF33][Jamaica] 6=[0xA65628][Mexico] 7=[0xF781BF][Philippines] 8=[0xCCCC00][Somalia] 9=[0xFF0A85][Sudan] 10=[0x00CCCC][Vietnam] 11=[0x00FF1A][El Salvador] 12=[0x0000AD][Ethiopia] 13=[0x3D3D3D][China],,,,,6,7,6,6,6,6,5,4,,2,6,7,6,6,6,6,6,0,10,1,11,3,4,8,10,0,1,6,6,4,4,6,3,6,0,4,6,6,4,3,4,12,4,6,6,0,4,6,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1343,849,12091,1214,181684,7829,4552,1094,,54563,14181,4521,1261,38735,3652,2093,2406,2256,2240,728,11613,20952,10678,9124,657,4237,251,2188,8363,1821,35235,1704,73676,6606,415,9250,1812,5572,11371,2088,1499,460,2927,53032,2777,468,14171,14671,310,4485,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,741,509,6561,646,101586,4279,2537,567,,31122,7729,2741,707,20904,1980,1110,1269,1246,1231,435,6467,11568,5732,5005,361,2434,167,1118,4771,1035,19171,986,40817,3349,210,5067,972,3119,6179,1273,867,218,1570,29942,1576,291,7501,8176,174,2389,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
