CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,2013,2786,578,,105,,,,1495,,,292,606,,56,4746,,1401,248,,61,,,,8175,,,,20,2621,37,95,4197,611,,1223,,,,,33134,,,287,,,382,1073,,109,122,,164,170,,,,,3231,,,553,132,5165,,359,1979,,246,514,3617,3181,,1200,,,191,,,,,,3871,788,62,46871,1213,10557,2967,1335,2363,2217,,1934,2125,725,1396,,755,331,3787,327,2779,,1815,136,,819,,158,,46,1217,,93,66,,72,55,,,,53,,,2684,45,1058,22,,638,819,,,,52,6582,,105,,9147,,,,,,,38830,9320,2506,60,,1068,3986,7660,91,,,,,,,504,386,,,1485,315,,60,,3594,2069,1175,1024,2785,,,786,501,1799,109,4438,597,,473,,,,299,2009,58,,,344,8594,253,7752,356,,,1148,,,27921,734,212,312,,,7486,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students] 7=[0xF781BF][Sales] 8=[0xCCCC00][Farming] 9=[0xFF0A85][Homemakers] 10=[0x00CCCC][Retirees],,,,,6,6,2,,6,,,,6,,,2,6,,6,2,,6,2,,6,,,,5,,,,6,2,6,6,5,2,,5,,,,,2,,,6,,,2,5,,3,2,,2,10,,,,,2,,,3,6,7,,2,2,,2,6,2,2,,2,,,2,,,,,,6,2,6,2,2,6,6,2,2,2,,2,2,6,2,,2,2,5,6,2,,2,2,,2,,2,,2,2,,5,6,,5,6,,,,3,,,2,6,6,6,,2,2,,,,5,2,,2,,2,,,,,,,2,6,5,2,,6,2,6,6,,,,,,,2,2,,,6,2,,5,,6,2,2,2,6,,,2,2,2,2,6,5,,3,,,,2,2,5,,,2,6,2,2,2,,,6,,,6,5,2,2,,,2,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,799,1295,359,,52,,,,612,,,148,250,,29,2573,,569,109,,40,,,,3909,,,,11,1205,23,51,1714,313,,514,,,,,13757,,,141,,,230,519,,66,33,,81,83,,,,,1896,,,207,51,2421,,116,913,,181,197,1280,1663,,660,,,129,,,,,,1787,281,21,23443,441,4789,1358,717,1282,1206,,686,1136,272,679,,402,107,1728,117,1375,,749,70,,278,,79,,22,543,,75,32,,62,25,,,,7,,,1668,18,496,8,,392,420,,,,37,3307,,54,,4782,,,,,,,14328,3953,1273,32,,463,1771,2604,42,,,,,,,245,273,,,656,121,,30,,1618,1030,491,526,2043,,,300,253,837,54,1570,297,,285,,,,223,1087,17,,,167,3475,127,3807,173,,,498,,,10469,509,101,154,,,3060,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,1214,1490,219,,53,,,,882,,,144,356,,27,2172,,832,139,,21,,,,4261,,,,9,1416,14,44,2477,298,,705,,,,,19371,,,146,,,152,554,,43,89,,83,86,,,,,1333,,,346,81,2742,,243,1064,,65,317,2333,1516,,540,,,62,,,,,,2083,507,41,23415,771,5766,1607,618,1077,1006,,1247,986,453,717,,352,224,2053,210,1401,,1066,65,,541,,77,,24,674,,18,33,,10,30,,,,46,,,1015,27,562,14,,246,398,,,,15,3274,,51,,4360,,,,,,,24485,5365,1226,28,,605,2213,5054,49,,,,,,,259,113,,,829,194,,30,,1976,1038,684,498,741,,,486,247,960,55,2866,300,,188,,,,76,921,41,,,177,5117,126,3935,183,,,650,,,17433,221,111,158,,,4425,,,,,,,,,,
,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,2018,3964,825,,106,35,520,2695,1605,44,1240,359,997,574,81,6683,1006,1769,355,918,64,72,,1630,9686,17,7028,54,,3488,51,71,4778,771,9607,1126,,,,1549,35387,15698,,369,,1402,491,1623,21481,140,122,,229,199,18,741,22165,8321,4271,13430,,653,156,5397,1163,532,2449,23,286,628,4556,4760,,1291,781,6551,194,,7434,15979,,4949,4263,955,70,47542,1287,11363,3614,1754,2905,2769,18953,2192,2634,872,1636,,903,246,4114,347,3393,,2193,142,,964,,163,36,67,1264,,118,86,,106,65,83979,41,,60,,96,3643,62,1486,,,575,1008,33,440,9283,46,8652,,145,23,10411,36,,1930,,285,10063,40500,10230,2638,59,,988,5484,9412,178,,623,,201,,,511,503,,,1683,347,,61,,4242,2225,1465,1023,2587,222,,984,539,2395,147,4583,837,,536,,235,6612,315,2742,75,30,,477,10184,277,9104,490,57,579,1821,,4476,29917,989,239,322,,,8819,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students] 7=[0xF781BF][Sales] 8=[0xCCCC00][Farming] 9=[0xFF0A85][Homemakers] 10=[0x00CCCC][Retirees],,,,,6,6,2,,7,6,2,2,6,6,2,2,6,2,6,6,2,6,2,2,6,6,,2,5,2,2,6,,2,6,7,5,2,2,5,,,,2,2,2,,6,,2,2,2,2,2,2,,6,2,6,2,6,6,2,5,,3,2,6,7,2,2,6,2,2,2,6,,2,2,5,5,,2,6,,5,6,2,6,2,2,6,6,2,2,2,2,2,2,6,2,,2,6,5,2,2,,2,2,,2,,6,7,7,2,,6,3,,2,7,5,6,,6,,6,2,2,6,,,2,2,0,2,2,6,2,,2,6,2,6,,2,,2,2,2,6,5,6,,6,2,6,2,,6,,5,,,2,2,,,6,2,,6,,6,2,2,2,6,6,,2,2,2,2,6,6,,2,,9,2,2,2,4,6,,2,6,2,2,2,6,2,6,,2,6,2,2,2,,,2,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,769,1898,492,,47,19,220,1230,702,16,576,151,412,198,43,3371,398,758,160,339,47,31,,749,4665,6,2509,23,,1631,34,35,1911,387,4239,449,,,,716,14579,5791,,194,,581,312,804,9882,87,39,,129,80,6,298,9465,3874,2434,6257,,250,57,2441,538,159,1157,16,180,228,1634,2515,,751,321,3122,128,,3089,7336,,1926,1944,360,26,23433,480,5062,1565,907,1564,1531,7358,773,1300,301,825,,460,79,1864,131,1619,,924,63,,358,,63,13,27,525,,80,50,,90,29,42111,30,,13,,31,2271,23,711,,,351,482,16,223,4052,29,4299,,68,16,5072,16,,590,,119,4264,14901,4326,1359,29,,419,2403,3193,80,,245,,97,,,260,338,,,729,139,,25,,2065,1068,662,506,1762,94,,381,279,1176,57,1617,390,,337,,118,2599,239,1466,30,11,,236,4158,131,4519,246,29,286,822,,1787,11935,723,125,153,,,3644,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,1248,2064,333,,58,16,300,1461,901,28,661,205,585,376,38,3307,607,1010,195,576,17,41,,878,5015,11,4515,31,,1857,17,36,2861,384,5343,676,,,,830,20775,9894,,175,,818,179,818,11597,53,83,,100,119,12,443,12683,4441,1834,7140,,403,99,2951,625,371,1287,7,106,399,2910,2244,,537,458,3411,66,,4340,8632,,3013,2317,595,43,24071,804,6267,2047,842,1338,1229,11571,1414,1329,571,810,,442,167,2226,216,1766,,1267,79,,606,,100,23,40,738,,38,36,,16,36,41664,11,,47,,65,1368,39,775,,,223,519,17,215,5225,17,4349,,76,7,5333,20,,1333,,165,5792,25536,5889,1274,30,,569,3078,6217,98,,378,,103,,,250,165,,,950,207,,36,,2176,1155,802,517,825,128,,602,260,1214,90,2955,446,,199,,117,4003,76,1275,45,18,,240,6019,146,4562,243,27,292,998,,2689,17910,266,113,169,,,5162,,,,,,,,,,
,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,1464,3830,722,,86,,371,1976,1737,39,1155,307,904,343,57,5503,778,1549,247,704,56,58,,1361,8921,,4583,38,,2906,,56,4806,661,7815,933,,,,1183,31708,11396,,193,,1161,324,1348,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students] 7=[0xF781BF][Sales] 8=[0xCCCC00][Farming] 9=[0xFF0A85][Homemakers] 10=[0x00CCCC][Retirees],,,,,7,1,2,,8,,1,2,2,8,2,2,2,2,8,7,2,2,2,2,8,8,,2,1,,2,8,,2,,3,1,2,2,1,,,,2,2,1,,2,,2,2,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,575,1838,452,,44,,161,970,758,20,543,143,365,123,33,3104,292,659,118,270,34,30,,596,4330,,1641,20,,1387,,37,1931,336,3562,398,,,,517,12543,4316,,105,,474,194,643,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,888,1986,270,,42,,209,1002,978,19,611,163,537,220,24,2396,482,890,128,433,22,27,,765,4574,,2937,17,,1514,,19,2863,325,4227,532,,,,663,19141,7054,,88,,680,130,705,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,1323,3324,616,,87,10,357,1965,1793,30,1295,277,793,378,54,5148,650,1464,232,664,42,47,0,1125,8013,0,4074,41,0,2487,19,59,3975,575,7682,635,0,0,27,1142,27309,9819,0,163,,970,317,1084,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students] 7=[0xF781BF][Sales] 8=[0xCCCC00][Farming] 9=[0xFF0A85][Homemakers] 10=[0x00CCCC][Retirees],,,,,7,3,2,,2,8,3,2,7,2,2,2,2,2,8,7,3,2,2,3,8,8,8,3,1,8,2,0,8,2,8,1,1,2,2,1,8,8,8,2,2,1,8,2,,3,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,555,1609,385,,35,0,169,939,822,12,594,127,324,148,30,2841,263,633,104,259,29,23,0,501,3910,0,1566,13,0,1219,12,32,1620,283,3504,268,0,0,13,514,11416,3882,0,98,,395,221,545,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,766,1708,230,,51,10,185,1017,971,18,695,147,464,229,24,2288,380,828,124,405,13,23,0,623,4099,0,2491,25,0,1266,7,27,2334,291,4141,364,0,0,14,625,15820,5869,0,65,,569,96,539,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,1235,2284,493,,64,24,325,,1673,19,882,240,886,342,31,4345,663,1224,250,665,27,38,0,,4993,7,,22,5,1599,12,21,3135,534,6399,429,0,0,13,,23991,,0,123,0,868,264,615,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,7,3,2,,2,8,3,,2,8,2,2,2,2,8,7,3,2,2,3,0,2,8,,1,8,,8,8,2,8,8,1,2,2,1,8,8,8,,2,,8,2,8,3,3,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,512,1151,332,,34,12,141,,728,0,431,106,383,147,15,2423,266,578,108,258,18,16,0,,2574,7,,9,0,802,9,12,1316,282,2868,178,0,0,13,,10246,,0,67,0,358,172,279,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8] 1=[0xE41A1C] 2=[0x4DAF4A] 3=[0x984EA3] 4=[0xFF7F00],,,,,723,1132,161,,30,12,184,,945,19,449,133,503,195,16,1921,397,646,141,407,9,22,0,,2417,0,,13,5,797,3,9,1818,252,3516,251,0,0,0,,13742,,0,56,0,510,92,336,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
